p1,p2,p1_avg_score,p2_avg_score,p1_max_time,p2_max_time,p1_wins,p2_wins,p1_win_pct,p2_win_pct,board_size,p1_median_time,p2_median_time
AB_Dpth_2_Brth_350_dpFalse,AB_Dpth_2_Brth_650_dpFalse,15.8,158,1.24879,1.38405,7,4,70.0,40.0,11,0.58065,0.63666
AB_Dpth_2_Brth_350_dpFalse,AB_Dpth_2_Brth_350_dpFalse,15.7,157,1.25681,1.25489,7,3,70.0,30.0,8,1.01663,1.01755
AB_Dpth_2_Brth_350_dpTrue,AB_Dpth_2_Brth_650_dpTrue,33.2,332,1.34746,1.26423,5,5,50.0,50.0,6,1.04158,1.04385
AB_Dpth_2_Brth_650_dpTrue,AB_Dpth_2_Brth_650_dpTrue,25.6,256,1.19862,1.21152,7,3,70.0,30.0,10,1.01522,1.02117
AB_Dpth_2_Brth_350_dpTrue,AB_Dpth_2_Brth_650_dpFalse,32.9,329,1.47177,1.5037,5,5,50.0,50.0,10,1.0204,1.0203
AB_Dpth_2_Brth_350_dpTrue,AB_Dpth_2_Brth_350_dpTrue,18.1,181,1.36616,1.32229,9,3,90.0,30.0,6,1.03341,1.03184
AB_Dpth_2_Brth_350_dpFalse,AB_Dpth_2_Brth_650_dpTrue,39.8,398,1.4966,1.36291,5,5,50.0,50.0,9,1.05127,1.05956
AB_Dpth_2_Brth_350_dpTrue,AB_Dpth_2_Brth_350_dpFalse,23.3,233,1.44471,1.36815,5,5,50.0,50.0,8,1.041,1.03527
AB_Dpth_2_Brth_650_dpTrue,AB_Dpth_2_Brth_650_dpFalse,28.4,284,1.69899,1.30432,6,4,60.0,40.0,10,1.02815,1.02581
AB_Dpth_2_Brth_650_dpFalse,AB_Dpth_2_Brth_650_dpFalse,23.2,232,1.27631,1.2479,7,4,70.0,40.0,8,1.02367,1.02406
