p1,p2,p1_avg_score,p2_avg_score,p1_max_time,p2_max_time,p1_wins,p2_wins,p1_win_pct,p2_win_pct
MCTS_Agent_Big_Sim_Depth,MCTS_Agent_Big_Sim_Depth,25,24,1.01211,1.01273,4,1,80.0,20.0
MCTS_Agent_Big_Sim_Depth,MCTS_Agent_Small_Sim_Depth,41,46,1.00335,1.00306,0,5,0.0,100.0
MCTS_Agent_Big_Sim_Depth,MCTS_Agent_Big_Depth,23,18,1.00621,1.01069,2,3,40.0,60.0
MCTS_Agent_Big_Sim_Depth,MCTS_Agent_Small_Depth,46,47,1.00644,1.00908,2,3,40.0,60.0
MCTS_Agent_Big_Sim_Depth,MCTS_Agent_Default,99,1,1.00378,1.00637,2,3,40.0,60.0
MCTS_Agent_Big_Sim_Depth,MCTS_Agent_Aggressive_Exploration,55,40,1.00374,1.00948,2,3,40.0,60.0
MCTS_Agent_Big_Sim_Depth,MCTS_Agent_Shy_Bitch,48,1,1.00692,1.01984,4,1,80.0,20.0
MCTS_Agent_Big_Sim_Depth,AlphaBeta_Agent_Default,31,62,1.00328,1.0667,0,5,0.0,100.0
MCTS_Agent_Big_Sim_Depth,AlphaBeta_Agent_Big_Depth,6,47,1.00595,1.13121,1,4,20.0,80.0
MCTS_Agent_Big_Sim_Depth,AlphaBeta_Agent_Small_Depth,80,1,1.00352,0.09319,1,4,20.0,80.0
MCTS_Agent_Big_Sim_Depth,AlphaBeta_Agent_Big_Breadth,15,63,1.00397,1.06918,1,4,20.0,80.0
MCTS_Agent_Big_Sim_Depth,AlphaBeta_Agent_Small_Breath,17,63,1.00474,1.02096,1,4,20.0,80.0
MCTS_Agent_Small_Sim_Depth,MCTS_Agent_Small_Sim_Depth,1,79,1.00679,1.00226,3,2,60.0,40.0
MCTS_Agent_Small_Sim_Depth,MCTS_Agent_Big_Depth,99,1,1.00358,1.00574,2,3,40.0,60.0
MCTS_Agent_Small_Sim_Depth,MCTS_Agent_Small_Depth,1,99,1.00427,1.00498,1,4,20.0,80.0
